site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"727 N EUCLID AV, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"765 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",,,,,False,,
,,"3015 S ARCHIBALD DR, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"320 E D ST, ONTARIO CA 91764",,,,,False,,
,,"320 E D ST, ONTARIO CA 91764",,,,,False,,
,,"1630 E FOURTH ST, SUITE 1-M, ONTARIO CA 91764",,,,,False,,
,,"13715 N BON VIEW AV, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"1630 E FOURTH ST, SUITE 1-M, ONTARIO CA 91764",,,,,False,,
,,"1630 E SHEARWATER ST, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,"1520 N MOUNTAIN AV, SUITE F-127, ONTARIO CA 91762",,,,,False,,
,,"1520 N MOUNTAIN AV, SUITE A-104, ONTARIO CA 91762",,,,,False,,
,,"1333 N MOUNTAIN AV, Ontario CA 91762",,,,,False,,
,,"116 E B ST, ONTARIO CA 91761",,,,,False,,
,,2614 S GARFIELD AV,,,,,False,,
,,"1520 N MOUNTAIN AV, SUITE F-127, ONTARIO CA 91762",,,,,False,,
,,"1520 N MOUNTAIN AV, SUITE A-104, ONTARIO CA 91762",,,,,False,,
,,nan,,,,,False,,
,,"116 E B ST, ONTARIO CA 91761",,,,,False,,
,,"0 S SUMNER AV, ONTARIO CA 91762",,,,,False,,
,,"1130 S CAMPUS AV, ONTARIO CA 91761",,,,,False,,
,,"526 E G ST, ONTARIO CA 91764",,,,,False,,
,,"151 Mountain AV, BLDG, Ontario CA United States",,,,,False,,
,,"0 E EUCALYPTUS AV, Ontario CA 91762",,,,,False,,
,,"0 S SUMNER AV, ONTARIO CA 91762",,,,,False,,
,,"1520 N MOUNTAIN AV, SUITE A-101, ONTARIO CA 91762",,,,,False,,
,,"3611 E GUASTI RD, Ontario CA 91761",,,,,False,,
,,"1425 S TOYOTA WY, ONTARIO CA 91761",,,,,False,,
,,"4902 S BAKER AV, ONTARIO CA 91762",,,,,False,,
,,"905 S GROVE AV, ONTARIO CA 91761",,,,,False,,
